event_name,company_name,source_name,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version
EcoGorodExpo / ZOZH-Expo 2026,АРИВЕРА,АРИВЕРА,,,,A02,,,"Компания «АРИВЕРА» - первый российский бренд органических продуктов. Более 15 лет работаем ТОЛЬКО по стандартам органик земледелия. Ассортимент органических продуктов включает всё необходимое для полноценного рациона: крупы, злаки, муку, зерновые и бобовые, семена льна, льняное и сафлоровое масла, мёд. Все продукты бренда «ARIVERA» произведены из качественного российского органического сырья, выращенного на полях собственного хозяйства в Мордовии.",,https://arivera.ru/,,,https://zozhexpo.ru/catalog/#li_title__2212226509810,2212226509810,"Компания «АРИВЕРА» - первый российский бренд органических продуктов. Более 15 лет работаем ТОЛЬКО по стандартам органик земледелия. Ассортимент органических продуктов включает всё необходимое для полноценного рациона: крупы, злаки, муку, зерновые и бобовые, семена льна, льняное и сафлоровое масла, мёд. Все продукты бренда «ARIVERA» произведены из качественного российского органического сырья, выращенного на полях собственного хозяйства в Мордовии.",ok,,2026-06-16T07:50:34Z,zozh-tilda-catalog-v1.0.0
EcoGorodExpo / ZOZH-Expo 2026,БАЙКАЛЬСКАЯ ЛЕГЕНДА,БАЙКАЛЬСКАЯ ЛЕГЕНДА,,,,B13,,,"Компания Байкальская Легенда – производитель высокотехнологичных БАД, с доказанной эффективностью и безопасностью. Базовые продукты компании – БиоЧага, БиоДигидрокверцетин и Амелан - нужны каждому, кто хочет оставаться здоровым не смотря на возраст. Продукты профилактируют болезни цивилизации и замедляют развитие возраст-ассоциированных заболеваний (сердечно-сосудистых, нейродегенеративных, онкологических, сахарного диабета и т д). Это истинные природные биохакеры, замедляющие биологический возраст. Для здоровых людей, препараты защитят в период вирусов и простуд, повысят тонус и работоспособность, улучшат память и когнитивные возможности.",,https://baikal-legend.ru/,,,https://zozhexpo.ru/catalog/#li_title__1759764700048,1759764700048,"Компания Байкальская Легенда – производитель высокотехнологичных БАД, с доказанной эффективностью и безопасностью. Базовые продукты компании – БиоЧага, БиоДигидрокверцетин и Амелан - нужны каждому, кто хочет оставаться здоровым не смотря на возраст. Продукты профилактируют болезни цивилизации и замедляют развитие возраст-ассоциированных заболеваний (сердечно-сосудистых, нейродегенеративных, онкологических, сахарного диабета и т д). Это истинные природные биохакеры, замедляющие биологический возраст. Для здоровых людей, препараты защитят в период вирусов и простуд, повысят тонус и работоспособность, улучшат память и когнитивные возможности.",ok,,2026-06-16T07:50:34Z,zozh-tilda-catalog-v1.0.0
EcoGorodExpo / ZOZH-Expo 2026,БАКТИК,БАКТИК,,,,C01,,,"Компания производит эффективные пробиотические продукты на основе живых бактерий и их метаболитов в виде БАДов, кормовых добавок и удобрений, положительно влияющих на здоровье и продуктивность жизни. БАД “Бактик” можно назвать флагманом направления: созданный на основе метаболитов сенной палочки, препарат оказывает выраженный профилактический, клинический и нормализующий микробиоценоз кишечника бифидостимулирующий эффект, позволяя влиять не только на факторы развития инфекции и патологии, но и на её причины. Максимально селекционированные защитные свойства пробиотика в сочетании с абсолютной безвредностью — редкие и ценные качества, позволяющие рекомендовать “Бактик” взрослым и детям с трех лет.",,http://www.bactik.ru/,,,https://zozhexpo.ru/catalog/#li_title__1774633896825,1774633896825,"Компания производит эффективные пробиотические продукты на основе живых бактерий и их метаболитов в виде БАДов, кормовых добавок и удобрений, положительно влияющих на здоровье и продуктивность жизни. БАД “Бактик” можно назвать флагманом направления: созданный на основе метаболитов сенной палочки, препарат оказывает выраженный профилактический, клинический и нормализующий микробиоценоз кишечника бифидостимулирующий эффект, позволяя влиять не только на факторы развития инфекции и патологии, но и на её причины. Максимально селекционированные защитные свойства пробиотика в сочетании с абсолютной безвредностью — редкие и ценные качества, позволяющие рекомендовать “Бактик” взрослым и детям с трех ",ok,,2026-06-16T07:50:34Z,zozh-tilda-catalog-v1.0.0
EcoGorodExpo / ZOZH-Expo 2026,Союз органического земледелия,Союз органического земледелия,,,,A02,,,"Сельскохозяйственный потребительский снабженческо-сбытовой кооператив ""Союз органического земледелия"". Миссия Кооператива – обеспечить потребителя высококачественной органической продукцией от надежных производителей, собранной на одном складе для вашего удобства. На данный момент в состав кооператива входят следующие сертифицированные органические сельхозтоваропроизводители: • ООО ""Агрофирма-Тик"" • КФХ ""Белые Луги"" • ИП КФХ Жгун • СППССК ""К1"" • ООО ""Курай Агро плюс"" • ИП Абаев Шавкят Шамильевич",,https://vk.com/belyelugi,,,https://zozhexpo.ru/catalog/#li_title__1758194290307,1758194290307,"Сельскохозяйственный потребительский снабженческо-сбытовой кооператив ""Союз органического земледелия"". Миссия Кооператива – обеспечить потребителя высококачественной органической продукцией от надежных производителей, собранной на одном складе для вашего удобства. На данный момент в состав кооператива входят следующие сертифицированные органические сельхозтоваропроизводители: • ООО ""Агрофирма-Тик"" • КФХ ""Белые Луги"" • ИП КФХ Жгун • СППССК ""К1"" • ООО ""Курай Агро плюс"" • ИП Абаев Шавкят Шамильевич",ok,,2026-06-16T07:50:34Z,zozh-tilda-catalog-v1.0.0
EcoGorodExpo / ZOZH-Expo 2026,Ботанический сад,Ботанический сад,,,,R06,,,"Бренд «Ботанический сад» — это натуральная косметика и аксессуары, созданные на основе гармонии с природой и вдохновлённые традициями аюрведы. В основе философии бренда лежит убеждение: на кожу стоит наносить только то, что теоретически можно съесть. Поэтому все средства производятся исключительно из природных компонентов — лекарственных трав, специй, злаков, растительных и эфирных масел. Продукция изготавливается небольшими партиями, что позволяет сохранять свежесть и насыщенность природных ароматов. Такой подход обеспечивает максимальную пользу для кожи и волос, поддерживая их здоровье и естественную красоту. Особое внимание уделяется чистоте составов: косметика бренда настолько натуральна, что её компоненты действительно съедобны. «Ботанический сад» выбирают те, кто ценит простоту, экологичность и верит в силу природы, способную бережно заботиться о красоте и гармонии.",,https://botanicgarden.ru/,,,https://zozhexpo.ru/catalog/#li_title__1774634170088,1774634170088,"Бренд «Ботанический сад» — это натуральная косметика и аксессуары, созданные на основе гармонии с природой и вдохновлённые традициями аюрведы. В основе философии бренда лежит убеждение: на кожу стоит наносить только то, что теоретически можно съесть. Поэтому все средства производятся исключительно из природных компонентов — лекарственных трав, специй, злаков, растительных и эфирных масел. Продукция изготавливается небольшими партиями, что позволяет сохранять свежесть и насыщенность природных ароматов. Такой подход обеспечивает максимальную пользу для кожи и волос, поддерживая их здоровье и естественную красоту. Особое внимание уделяется чистоте составов: косметика бренда настолько натуральна",ok,,2026-06-16T07:50:34Z,zozh-tilda-catalog-v1.0.0
EcoGorodExpo / ZOZH-Expo 2026,Verbena L'annima,Verbena L'annima,,,,D06,,,"Verbena L’annima – торговая марка, под которой мы собрали достойных изготовителей натуральных эфирных масел со всего мира. Эфирные масла от Verbena L’annima сделают жизнь более наполненной и осмысленной. Это приятный инструмент и источник ресурса в любой деятельности: от уборки до медитации. Через красоту ароматов вы вносите в свой дом гармонию, баланс и здоровье. Verbena L’annima также развивает лимитированные серии, коллаборации и мастер-классы.",,https://verbena-club.com/,,,https://zozhexpo.ru/catalog/#li_title__1759337627368,1759337627368,"Verbena L’annima – торговая марка, под которой мы собрали достойных изготовителей натуральных эфирных масел со всего мира. Эфирные масла от Verbena L’annima сделают жизнь более наполненной и осмысленной. Это приятный инструмент и источник ресурса в любой деятельности: от уборки до медитации. Через красоту ароматов вы вносите в свой дом гармонию, баланс и здоровье. Verbena L’annima также развивает лимитированные серии, коллаборации и мастер-классы.",ok,,2026-06-16T07:50:34Z,zozh-tilda-catalog-v1.0.0
EcoGorodExpo / ZOZH-Expo 2026,ВЕРА,ВЕРА,,,,B05,,,"Производство одежды и аксессуаров из конопли. Защита окружающей среды — тема очень близкая компании «Bepa». Поэтому мы решили использовать только экологически чистые натуральные волокна: для нас это конопля. Одежда, которая носится недолго, но долго загрязняет окружающую среду — это центральное противоречие быстрой моды, производственной модели, которая производит все новые и новые вещи по выгодным ценам, подпитывая порочный круг, состоящий из навязчивого потребления и неустойчивых отходов. Наша одежда — это изделия ручной работы, которые долговечны. Используемое волокно конопли не смешивается с другими волокнами. Все из 100% натурального волокна конопли. Прохладно летом и тепло зимой.",,https://xn--80aaejd7bon.xn--p1ai/,,,https://zozhexpo.ru/catalog/#li_title__1759476230315,1759476230315,"Производство одежды и аксессуаров из конопли. Защита окружающей среды — тема очень близкая компании «Bepa». Поэтому мы решили использовать только экологически чистые натуральные волокна: для нас это конопля. Одежда, которая носится недолго, но долго загрязняет окружающую среду — это центральное противоречие быстрой моды, производственной модели, которая производит все новые и новые вещи по выгодным ценам, подпитывая порочный круг, состоящий из навязчивого потребления и неустойчивых отходов. Наша одежда — это изделия ручной работы, которые долговечны. Используемое волокно конопли не смешивается с другими волокнами. Все из 100% натурального волокна конопли. Прохладно летом и тепло зимой.",ok,,2026-06-16T07:50:34Z,zozh-tilda-catalog-v1.0.0
EcoGorodExpo / ZOZH-Expo 2026,VILAVI,VILAVI,,,,A13,,,"Vilavi — бренд, где энергия жизни становится системой. В центре внимания — митохондриальное здоровье, наука долголетия и продукты, созданные на основе биотехнологий и природы. Решения для тех, кто не ищет волшебную таблетку, выбирает надежный ресурс: ясность ума, крепкий иммунитет, энергию и внутреннюю силу. Здесь ЗОЖ — не тренд, стиль жизни нового поколения.",,https://www.vilavi.com/,,,https://zozhexpo.ru/catalog/#li_title__1774634565112,1774634565112,"Vilavi — бренд, где энергия жизни становится системой. В центре внимания — митохондриальное здоровье, наука долголетия и продукты, созданные на основе биотехнологий и природы. Решения для тех, кто не ищет волшебную таблетку, выбирает надежный ресурс: ясность ума, крепкий иммунитет, энергию и внутреннюю силу. Здесь ЗОЖ — не тренд, стиль жизни нового поколения.",ok,,2026-06-16T07:50:34Z,zozh-tilda-catalog-v1.0.0
EcoGorodExpo / ZOZH-Expo 2026,Вкус благости,Вкус благости,,,,B03,,,"Компания Вкус Благости активно развивается на рынке с 2023 года. Продукт – топленое масло Гхи, как чистое, так и с разнообразными вкусами, - настолько полюбился россиянам, что в компании приняли решение увеличить мощность производства вдвое. На данное время масло Гхи представлено на маркетплейсе ОЗОН, активно появляется в сетевых магазинах. Фишка компании в том, что произведенное масло является натуральным продуктом, не содержит примесей, добавок и топится не на открытом огне, а в пароводяных котлах. Именно такой продукт очень полюбился потребителю, о чем говорят тысячные отзывы. Стоит отметить, что очень многие, попробовав масло Гхи от Вкус благости, начинают переходить на этот продукт. Оно полезнее аналогичных видов масел, подходит для приверженцев правильного питания, к тому же, в линейке – разнообразные вкусы. Бренд Вкус благости добавляет натуральные добавки для индивидуальности. Например, масло с солью, чесноком, розмарином, паприкой. Это такая продукция, на которой можно не только жарить, но и добавлять в качестве заправок и как самостоятельное блюдо. На данное представлено шоколадное масло сладкое, соленое, с арахисом. Данный продукт подойдет для людей, которые предпочитают правильное питание. Это полезнее, чем сливочное масло. Бренд Вкус благости, заявляет, что масло Гхи зимой и летом – разное по цвету и консистенции. Это зависит от сырья, как питаются коровы. Фишка в том, что продукт натуральный. Многие люди вообще не знали, что жарить на растительном масле гораздо более вредно, чем на топленом масле. Жареное вообще вредно, но если уж вы жарите, то делайте это на нашем масле. Потому что это высокая точка горения, не выделяются канцерогены. Иногда хочется призвать людей – не жарьте на растительном масле. Как, знаете, на сигаретах пишут «Курение убивает», так и в этой области – «Уходите от растительного масла - жарьте на масле Гхи», - девиз компании. На данное время компания «Вкус Благости» ведет работу над расширением географии, планируется выход в регионы, на более мелкие города. Также в планах – выход на экспортные рынки.",,https://vkusblagosti.ru/,,,https://zozhexpo.ru/catalog/#li_title__1759730163836,1759730163836,"Компания Вкус Благости активно развивается на рынке с 2023 года. Продукт – топленое масло Гхи, как чистое, так и с разнообразными вкусами, - настолько полюбился россиянам, что в компании приняли решение увеличить мощность производства вдвое. На данное время масло Гхи представлено на маркетплейсе ОЗОН, активно появляется в сетевых магазинах. Фишка компании в том, что произведенное масло является натуральным продуктом, не содержит примесей, добавок и топится не на открытом огне, а в пароводяных котлах. Именно такой продукт очень полюбился потребителю, о чем говорят тысячные отзывы. Стоит отметить, что очень многие, попробовав масло Гхи от Вкус благости, начинают переходить на этот продукт. Оно",ok,,2026-06-16T07:50:34Z,zozh-tilda-catalog-v1.0.0
EcoGorodExpo / ZOZH-Expo 2026,Грибы для мозга,Грибы для мозга,,,,A12,,,"Владимирская область Компания «Грибы для мозга» осуществляет деятельность по производству функционального фермерского питания быстрого приготовления: нейросуп и нейрокаша, а также натуральных грибных добавок на основе собственного сырья и сырья Владимирских сельхозпроизводителей. Компания «Грибы для мозга» занимается выращиванием, переработкой и хранением сырья: ягод, грибов, овощей, фруктов, а также дикорастущих грибов, ягод и растений. Компания «Грибы для мозга» имеет собственное производство, изготавливает широкий ассортимент качественных сушеных фруктов, ягод, овощей, грибов и растений. Компания «Грибы для мозга» принимает участие на регулярной основе в международных и российских выставках и ярмарках. Уникальность производства заключается в инновационном подходе к технологии переработки сырья: сбор сырья ведется вручную, что позволяет сохранить целостность продукта и в дальнейшей обработке обеспечить наиболее полное извлечение ценных компонентов при получении ягодных, грибных и овощных полуфабрикатов.",,https://bioprodukt.tech/,,,https://zozhexpo.ru/catalog/#li_title__1774635168138,1774635168138,"Владимирская область Компания «Грибы для мозга» осуществляет деятельность по производству функционального фермерского питания быстрого приготовления: нейросуп и нейрокаша, а также натуральных грибных добавок на основе собственного сырья и сырья Владимирских сельхозпроизводителей. Компания «Грибы для мозга» занимается выращиванием, переработкой и хранением сырья: ягод, грибов, овощей, фруктов, а также дикорастущих грибов, ягод и растений. Компания «Грибы для мозга» имеет собственное производство, изготавливает широкий ассортимент качественных сушеных фруктов, ягод, овощей, грибов и растений. Компания «Грибы для мозга» принимает участие на регулярной основе в международных и российских выставк",ok,,2026-06-16T07:50:34Z,zozh-tilda-catalog-v1.0.0
