event_name,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,source_sheet
SobMaExpo 2026,Арнест,Арнест,"косметика, бытовая химия, парфюмерия, соусы, мороженое",Россия,Невинномысск,,,"Крокус Экспо, Павильон 1, Зал 4",контрактные производители; бытовая и профессиональная химия; косметика и парфюмерия; продукты питания,"SobMaExpo posts present Arnest/Arnest UniRus as producer of perfumery, cosmetics, household chemicals, food products and ice cream for private label.","Прелесть Pro, Deonica, SoWell",https://arnest.ru/,info@arnest.ru,,https://t.me/SobMaExpo/655; https://t.me/SobMaExpo/663,"telegram:655,663","⚙️ Контрактное производство продуктов питания и мороженого от «Арнест ЮниРусь» на SobMaExpo Компания «Арнест ЮниРусь» #участникиSobma2026 , приглашает посетителей познакомиться с возможностями контрактного производства продуктов питания и мороженого под собственной торговой маркой. Компания предлагает полный цикл услуг - от разработки рецептуры до выпуска готового продукта. Это позволяет брендам и ритейлерам быстро и эффективно запускать новые линейки СТМ. 💼 В портфеле контрактного производства «Арнест ЮниРусь» - популярные категории продуктов питания: ✔️ майонезы, кетчупы и с",ok,,2026-07-11T18:52:45.199417+00:00,sobmaexpo-2026-public-telegram-signo-pipeline-v1.0.0,telegram_public_posts
SobMaExpo 2026,Мирролла,Мирролла,"косметика, бады, витамины, фармацевтическая продукция",Россия,Санкт-Петербург,,,"Крокус Экспо, Павильон 1, Зал 4",косметика и парфюмерия; бады и аптечные товары,Producer of cosmetic and pharmaceutical products with BAA/GMP production and private-label projects.,"Mirrolla, Mirrolla Sulsen, Oceanica, СуперМишки, Skin Plus",https://mirrolla.ru/,,,https://t.me/SobMaExpo/657; https://t.me/SobMaExpo/723,"telegram:657,723","«Мирролла» - один из ведущих российских производителей косметической и фармацевтической продукции , сочетающий природные компоненты, научный подход и собственные исследовательские разработки #участникиSobma2026 💼 В портфеле компании - бренды Mirrolla, Mirrolla Sulsen, Oceanica, СуперМишки, Кук Ля Кук, Skin Plus, Apotek's и 911 Экстренная помощь. Ассортимент превышает 3000 SKU, что позволяет закрывать широкий спектр категорий и потребностей рынка. Компания ежегодно принимает участие в выставке SobMaExpo, где представ",ok,,2026-07-11T18:52:45.199417+00:00,sobmaexpo-2026-public-telegram-signo-pipeline-v1.0.0,telegram_public_posts
SobMaExpo 2026,Merelle,Merelle,"бытовая химия, косметика, гели для стирки, шампунь, мыло",Россия,,,,"Крокус Экспо, Павильон 1, Зал 4",бытовая и профессиональная химия; косметика и парфюмерия,"Full-cycle private-label production of household chemicals and cosmetics; MERELLE line includes laundry gels, cleaners, shampoos, soap, professional chemistry.",MERELLE,,,,https://t.me/SobMaExpo/663,telegram:663,"ки на SobMaExpo 2026. На выставке SobMa будут представлены десятки категорий - от food до non-food. И сегодня мы хотим познакомить вас с одним из самых востребованных направлений - контрактными производителями бытовой химии и косметики 👇 🟦 Merelle Контрактное производство бытовой химии и косметических средств полного цикла и линейка бренда MERELLE - от гелей для стирки и чистящих средств до шампуней, мыла и профессиональной химии. На стенде вы узнаете, как запустить СТМ - от идеи до вывода продукта на рынок. 🟦 Арнест Более 50 лет компания развивает производство парфюмерии, косметики и бытовой химии, представляя бренды «Прелесть Pro», Deonica и новинку SoWell. На стенде вы первыми увидите нов",ok,,2026-07-11T18:52:45.199417+00:00,sobmaexpo-2026-public-telegram-signo-pipeline-v1.0.0,telegram_public_posts
SobMaExpo 2026,Аэростар,Аэростар,"аэрозольная продукция, средства ухода, бытовая химия",Россия,,,,"Крокус Экспо, Павильон 1, Зал 4",бытовая и профессиональная химия; косметика и парфюмерия,"Russian aerosol producer implementing private-label projects from formulas to supply, including care products and household chemicals.",,,,,https://t.me/SobMaExpo/663,telegram:663,"тво парфюмерии, косметики и бытовой химии, представляя бренды «Прелесть Pro», Deonica и новинку SoWell. На стенде вы первыми увидите новинки, получите экспертные рекомендации и посетите мастер-класс стилиста по созданию быстрых причесок. 🟦 Аэростар Один из ведущих российских производителей аэрозольной продукции, реализующий проекты СТМ на всех этапах - от разработки формул до поставок, включая средства ухода и бытовую химию. На стенде вы получите экспертную поддержку по запуску продукта, узнаете о возможностях R&D и найдете решения под свои задачи. 🟦 Миралюкс Производственная компания полного цикла - надежный партнер в создании СТМ. Обеспечивает весь процесс: от разработки рецептур и произво",ok,,2026-07-11T18:52:45.199417+00:00,sobmaexpo-2026-public-telegram-signo-pipeline-v1.0.0,telegram_public_posts
SobMaExpo 2026,Миралюкс,Миралюкс,"косметика, бытовая химия, агрохимия",Россия,,,,"Крокус Экспо, Павильон 1, Зал 4",косметика и парфюмерия; бытовая и профессиональная химия,"Full-cycle manufacturing company for private label; recipes, packaging production and filling in cosmetics, household and agrochemistry.",,,,,https://t.me/SobMaExpo/663,telegram:663,"лизующий проекты СТМ на всех этапах - от разработки формул до поставок, включая средства ухода и бытовую химию. На стенде вы получите экспертную поддержку по запуску продукта, узнаете о возможностях R&D и найдете решения под свои задачи. 🟦 Миралюкс Производственная компания полного цикла - надежный партнер в создании СТМ. Обеспечивает весь процесс: от разработки рецептур и производства тары до розлива продукции в сегментах косметики, бытовой и агрохимии. На стенде вы разберете этапы запуска и подберете решения под нужный ценовой сегмент. 🟦 Флекс Крафт Российский производитель инновационной бытовой химии в формате концентрированных капсул EcoCaps с пониженным содержанием воды и экологичным по",ok,,2026-07-11T18:52:45.199417+00:00,sobmaexpo-2026-public-telegram-signo-pipeline-v1.0.0,telegram_public_posts
SobMaExpo 2026,Флекс Крафт,Флекс Крафт,"бытовая химия, капсулы ecocaps",Россия,,,,"Крокус Экспо, Павильон 1, Зал 4",бытовая и профессиональная химия,Russian producer of innovative household chemicals in EcoCaps concentrated capsule format.,,,,,https://t.me/SobMaExpo/663,telegram:663,"р в создании СТМ. Обеспечивает весь процесс: от разработки рецептур и производства тары до розлива продукции в сегментах косметики, бытовой и агрохимии. На стенде вы разберете этапы запуска и подберете решения под нужный ценовой сегмент. 🟦 Флекс Крафт Российский производитель инновационной бытовой химии в формате концентрированных капсул EcoCaps с пониженным содержанием воды и экологичным подходом к использованию. На стенде вы познакомитесь с новым форматом, протестируете продукты и оцените потенциал внедрения в ассортимент. 📆 14–15 апреля 📍 МВЦ «Крокус Экспо» 🎟 ️ Получить бейдж 🟣 SobMaExpo в MAX - присоединяйтесь!",ok,,2026-07-11T18:52:45.199417+00:00,sobmaexpo-2026-public-telegram-signo-pipeline-v1.0.0,telegram_public_posts
SobMaExpo 2026,Dolce Milk,Dolce Milk,"косметика, парфюм, средства для волос, средства для тела",Россия,,,,"Крокус Экспо, Павильон 1, Зал 4",косметика и парфюмерия; средства личной гигиены,"Retail Connect SobMaExpo brand with categories Bath&Body, Antibacterial, Skincare, Haircare, Man, Gifting, Perfumes, Make up.",Dolce Milk,,,,https://t.me/SobMaExpo/672,telegram:672,"🔸 Dolce Milk - участник Retail Connect SobMaExpo. Dolce Milk - бренд, у которого есть потенциал для постоянного расширения своей аудитории за счет сильной идеи, воплощенной в фирменном стиле, уникальном характере и ценностях. «Молодость» в контексте целевой аудитории бренда – это скорее характеристика, а не обозначение возраста. Акцент и на личное потребление, и на покупки в качестве подарка – важный критерий успеха. Dolce Milk призван создавать тренды, а не следовать им. Это уникальный бренд для своей ниши. Зонтичны",ok,,2026-07-11T18:52:45.199417+00:00,sobmaexpo-2026-public-telegram-signo-pipeline-v1.0.0,telegram_public_posts
SobMaExpo 2026,Губернские аптеки,Губернские аптеки,"натуральная косметика, аптечные товары, зоотовары",Россия,,,,,бады и аптечные товары; косметика и парфюмерия,Regional pharmacy network with production pharmacies and natural care cosmetics in the official Retail Connect participant post.,,,,,https://t.me/SobMaExpo/674,telegram:674,"💊 Акционерное общество «Губернские аптеки» - участник Retail Connect SobMaExpo. АО«Губернские аптеки» – крупнейшая региональная государственная аптечная сеть России, представляющая собой уникальный пример успешной трансформации государственного предприятия в современную, динамично развивающуюся организацию. Аптечная сеть включает в себя около 500 структурных подразделений: аптеки, производственные аптеки, аптечные пункты, салоны оптики и ортопедии, а также два склада. Компания осуществляет свою деятельность в двух субъектах РФ – в Красноя",ok,,2026-07-11T18:52:45.199417+00:00,sobmaexpo-2026-public-telegram-signo-pipeline-v1.0.0,telegram_public_posts
SobMaExpo 2026,Cosmetics News,Cosmetics News,декоративная косметика,Россия,,,,"Крокус Экспо, Павильон 1, Зал 4",косметика и парфюмерия,Premium decorative cosmetics brand; official post says products are made at leading Italian decorative-cosmetics factories.,Cosmetics News,,,,https://t.me/SobMaExpo/684,telegram:684,"🔹 «Cosmetics News» - участник Retail Connect SobMaExpo. «Cosmetics News» - бренд декоративной косметики премиум-класса создан для тех, кто интересуется модой, последними модными направлениями и передовыми технологиями в производстве декоративной косметики. Вся продукция «Cosmetics News» поистине уникальна: формулы, текстуры, а также их действие и применение. Производят продукцию на ведущих фабриках по производству декоративной косметики из Италии. Выбирая самые совершенные формулы создают самые уникальные продукты. Хо",ok,,2026-07-11T18:52:45.199417+00:00,sobmaexpo-2026-public-telegram-signo-pipeline-v1.0.0,telegram_public_posts
SobMaExpo 2026,М Здоровье,М Здоровье,"витамины, бады, медицинские изделия, средства гигиены",Россия,,,,,бады и аптечные товары; средства личной гигиены,"Private-label brand of Magnit Apteka for daily health; vitamins, BAA, medical products and hygiene goods.",М Здоровье,,,,https://t.me/SobMaExpo/686,telegram:686,"🕉 Бренд «М Здоровье», собственная торговая марка «Магнит Аптека», примет участие в выставке SobMaExpo 2026 , представив экосистему выгодных решений для ежедневной заботы о здоровье. Линейка объединяет витамины, БАДы, медицинские изделия и средства гигиены, закрывая базовые потребности широкой аудитории в аптечном ассортимента. Забота о здоровье должна быть не только своевременной и эффективной, но и доступной, поэтому «М Здоровье» #участникиSobma2026 - это всегда выгодно. 🌟 В рамках выставки SobMaExpo бренд также причет уча",ok,,2026-07-11T18:52:45.199417+00:00,sobmaexpo-2026-public-telegram-signo-pipeline-v1.0.0,telegram_public_posts
