event_name,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,alpha_filter,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,short_name_check,products_check,qa_notes,signo_status,repeat_reason,matched_crm_email,matched_crm_domain,matched_crm_company,candidate_emails,candidate_top_domains,source_sheet,source_removed_reason,website_email_status,website_email_source_url,website_email_notes,main email,main_email_reason
БАНИ-ЭКСПО 2026,ВяткаДомСтрой,ВяткаДомСтрой,"срубы, оцилиндрованное бревно, пиломатериалы",Россия,,,,,строительство бань; материалы для бань,"Official site says the company builds houses/baths from rounded and chopped logs, has its own sawmill, and makes log structures from northern wood.",,https://ecodomstroim.ru/,,,https://expo-bani.ru/,bani-expo-2026-official-001,В,"я парная, уютный хаммам или компактная ИК‑кабина для дома! ЧТО ВЫ ПОЛУЧИТЕ НА ВЫСТАВКЕ партнеры С 2007 года строим дома и бани из оцилиндрованного и рубленого бревна. Собственное производство и пилорама позволяют вам не переплачивать посредникам и получать качественные материалы по выгодной цене. Изготавливаем срубы любой сложности из северного леса диаметром от 18 до 40 см. В штате работают мастера с опытом более 10 лет. Организуем доставку в любой регион России и сопровождаем проект на всех этапах строительства. ВяткаДомСтрой Подробнее YAMAGUCHI — эксперт в области массажного, косметологического и фитнес-оборудования. Бренд объединяет современ",ok,,2026-08-24T05:24:47Z,bani-expo-2026-official-site-signo-v1.0.1,ok,ok,,repeat,company-owned public email/site domain in current Twenty,,ecodomstroim.ru,ВяткаДомСтрой,,ecodomstroim.ru,official_home_participant_section,,not_found,,no valid public business email found on sampled pages,,
БАНИ-ЭКСПО 2026,YAMAGUCHI,YAMAGUCHI,"массажные кресла, фитнес-оборудование, бьюти-линейка",Россия,,,,,оборудование; товары для здоровья,"Official site describes massage, cosmetology and fitness equipment plus a beauty line presented on the stand.",YAMAGUCHI,https://www.yamaguchi.ru/,,,https://expo-bani.ru/,bani-expo-2026-official-002,Y,"или компактная ИК‑кабина для дома! ЧТО ВЫ ПОЛУЧИТЕ НА ВЫСТАВКЕ партнеры С 2007 года строим дома и бани из оцилиндрованного и рубленого бревна. Собственное производство и пилорама позволяют вам не переплачивать посредникам и получать качественные материалы по выгодной цене. Изготавливаем срубы любой сложности из северного леса диаметром от 18 до 40 см. В штате работают мастера с опытом более 10 лет. Организуем доставку в любой регион России и сопровождаем проект на всех этапах строительства. ВяткаДомСтрой Подробнее YAMAGUCHI — эксперт в области массажного, косметологического и фитнес-оборудования. Бренд объединяет современные разработки в сфе",ok,,2026-08-24T05:24:47Z,bani-expo-2026-official-site-signo-v1.0.1,ok,ok,,repeat,company-owned public email/site domain in current Twenty,,yamaguchi.ru,Yamaguchi,,yamaguchi.ru,official_home_participant_section,,not_found,,no valid public business email found on sampled pages,,
БАНИ-ЭКСПО 2026,Рапсалин,Рапсалин,"минеральная вода, спреи, косметика",Россия,,,,,здоровье; косметика для бани,Official participant text describes mineral waters used for body/cosmetic purposes and in sprays/pharmaceutical products.,RAPSALIN,https://rapsalin.ru/biz,rating@mail.ru; vbs@rapsalin.com,,https://expo-bani.ru/,bani-expo-2026-official-003,Р,"Семейный банный день как традиция. Дети в бане. Как приучить и не навредить Мастер парения Елена Гречешникова Эффект Золушки. Банные премудрости от нутрициолога Что можно, а что нельзя до и после бани Siberian Wellness Хэлс-коуч, специалист по оздоровлению, психолог, арт-терапевт Ольга Маслова Танцуем от печки - как выбрать подходящую банную печь Практикующий пармастер. Мастер-наставник по банному мастерству Николай Петров Использование рапы ТМ «RAPSALIN» в оздоровительных купелях/ваннах Производственная компания Рапсалин Школа Дедушки русского пара Петрова Н.Н. Клуб Внуки русского пара Эксперт-бальнеолог, консультант по применению минерал",ok,,2026-08-24T05:24:47Z,bani-expo-2026-official-site-signo-v1.0.1,ok,ok,,repeat,exact normalized email in current Twenty,vbs@rapsalin.com,,Рапсалин,rating@mail.ru; vbs@rapsalin.com,mail.ru; rapsalin.com; rapsalin.ru,official_home_participant_section,,found,https://rapsalin.ru/,public website email enrichment,vbs@rapsalin.com,best valid public business email found
БАНИ-ЭКСПО 2026,Siberian Wellness,Siberian Wellness,"бады, натуральная косметика, парфюмерия, спортпит",Россия,,,,,косметика; здоровое питание,"Official participant text says Siberian Wellness creates supplements, natural cosmetics, perfume and sports nutrition.",Siberian Wellness,https://ru.siberianhealth.com/ru/?referral=2516147623&delivery=ru,call-centre@sibvaleo.com; eshop@sibvaleo.com,,https://expo-bani.ru/,bani-expo-2026-official-004,S,"ортологии"" Минздрав России к.м.н, врач Глеб Николаевич Барашков Советы бывалого банщика. Как получить максимальное удовольствие Пармастер Антон Шипов Баня лечит нервы: механизм победы над стрессом и тревожностью Телесная терапия паром и холодом Врач/психотерапевт, клинический психолог Варвара Иванова Баня без спешки. Семейный банный день как традиция. Дети в бане. Как приучить и не навредить Мастер парения Елена Гречешникова Эффект Золушки. Банные премудрости от нутрициолога Что можно, а что нельзя до и после бани Siberian Wellness Хэлс-коуч, специалист по оздоровлению, психолог, арт-терапевт Ольга Маслова Танцуем от печки - как выбрать подходящую б",ok,,2026-08-24T05:24:47Z,bani-expo-2026-official-site-signo-v1.0.1,ok,ok,,new,no exact email or safe company-owned domain found in current Twenty,,,,call-centre@sibvaleo.com; eshop@sibvaleo.com,ru.siberianhealth.com; sibvaleo.com,official_home_participant_section,,found,https://ru.siberianhealth.com/ru/?referral=2516147623&delivery=ru,public website email enrichment,call-centre@sibvaleo.com,best valid public business email found
БАНИ-ЭКСПО 2026,Деликатес-Дичь,Деликатес-Дичь,"колбасы, вяленое мясо, паштеты, тушеное мясо",Россия,,,,,пищевые продукты,"Official participant text describes wild-meat sausages, cured meats, pates, rillettes, stewed meat and gift sets.",,https://delikatess-dich.ru/?ysclid=ms7eyclf5f626726922,selling@delikatess-dich.ru,,https://expo-bani.ru/,bani-expo-2026-official-005,Д,"для здоровья и красоты. Рождены в Сибири, признаны в 60+ странах. Производство в России, Сербии, Италии, Узбекистане. Сочетаем науку и дары природы, создаём инновационные БАДы, натуральную косметику, парфюмерию и спортпит. Бережём планету - биоразлагаемые материалы, экологичное производство. На нашем стенде: ✅ знакомство с продукцией ✅ розыгрыш подарков ✅ шанс выиграть консультацию нутрициолога Доверие клиентов - наша главная награда. Приходите - откроем путь к здоровью вместе! Siberian Wellness Подробнее Компания Деликатес-Дичь является одним из крупнейших производителей продукции из мяса диких животных. В ряду выпускаемых товаров присутствует м",ok,,2026-08-24T05:24:47Z,bani-expo-2026-official-site-signo-v1.0.1,ok,ok,,repeat,company-owned public email/site domain in current Twenty,,delikatess-dich.ru,Деликатес Дичь,selling@delikatess-dich.ru,delikatess-dich.ru,official_home_participant_section,,found,https://delikatess-dich.ru/?ysclid=ms7eyclf5f626726922,public website email enrichment,selling@delikatess-dich.ru,only valid public business email found
БАНИ-ЭКСПО 2026,Russkaya Banya,Russkaya Banya,"товары для бани, банные принадлежности",Россия,,,,,товары для бани,Official participant text says the project offers goods and accessories for baths made from natural eco-friendly raw materials.,,,,,https://expo-bani.ru/,bani-expo-2026-official-006,R,"ция незабываемых по своими вкусовым качествам паштетов, риетов и тушеного по старорусской рецептуре мяса диких животных. Гордостью производителя по праву является знаменитая линейка подарочных наборов из нашей продукции, которая украшает полки самых крупных, ведущих торговых предприятий нашей страны. От гастронома номер 1 в городе Москва до центрального супермаркета в городе Владивосток. Поставщиками сырья для нашего производства являются более 45 охотничьих хозяйств. Деликатес-Дичь Подробнее Международный проект «Russkaya Banya» создан в 2022 году для духовной и материальной реализации участников. Он расположен в Апшеронске, Краснодарский край (",ok,website_not_published_on_official_site,2026-08-24T05:24:47Z,bani-expo-2026-official-site-signo-v1.0.1,ok,ok,,new,no exact email or safe company-owned domain found in current Twenty,,,,,,official_home_participant_section,,,,,,
БАНИ-ЭКСПО 2026,СТЛ,СТЛ,физиотерапевтическое оборудование,Россия,,,,,оборудование для здоровья,"Official participant text describes physiotherapy equipment for rehabilitation and treatment of musculoskeletal, cardiovascular and nervous-system conditions.",,https://stl-comp.ru/about/,,,https://expo-bani.ru/,bani-expo-2026-official-007,С,"ной бани Своя баня с нуля Скрабы, маски и кремы работают в тепле в разы лучше. Натуральные составы — попробуй на стенде и забери с собой лучший. Печь – основа хорошего пара в собственной бане. Если вы решили строить баню – самое время разобраться, какая печь вам подойдет больше всего и не переплачивать только за бренд. Посмотрите, сравните, послушайте специалистов и ваш выбор будет сбалансированным. Залезть после парной в холодную купель или погрузиться в горячий чан – лучший способ почувствовать себя абсолютно счастливым. Обсудите с консультантами, оцените качество материалов и удобство конструкции и возможно, уже в день выставки вы с",ok,,2026-08-24T05:24:47Z,bani-expo-2026-official-site-signo-v1.0.1,ok,ok,,repeat,company-owned public email/site domain in current Twenty,,stl-comp.ru,Стл,,stl-comp.ru,official_home_participant_section,,error,,last fetch error: ConnectTimeout,,
БАНИ-ЭКСПО 2026,Барель,Барель,"купели, деревянные изделия для бани, деревянные изделия для дома",Россия,,,,,банная мебель и аксессуары,"Official participant text describes wooden products for bath, sauna and home, expanded from tubs to a broad product range.",,https://barelwood.com/,barel@barelwood.com,,https://expo-bani.ru/,bani-expo-2026-official-008,Б,"здан в 2022 году для духовной и материальной реализации участников. Он расположен в Апшеронске, Краснодарский край (предгорье Кавказа). В ассортименте — товары и принадлежности для бани; ассортимент расширяется и обновляется. Для производства используется натуральное, экологически чистое сырьё. Russkaya Banya Подробнее Физиотерапевтическое оборудование, направленное на лечение заболеваний опорно-двигательного аппарата, сердечно-сосудистой и нервной системы, реабилитация после травм. СТЛ Подробнее История компании «Барель» началась в 1999 году с небольшой группы единомышленников во главе с идейным вдохновителем – Игорем Ивановичем Долга. О",ok,,2026-08-24T05:24:47Z,bani-expo-2026-official-site-signo-v1.0.1,ok,ok,,new,no exact email or safe company-owned domain found in current Twenty,,,,barel@barelwood.com,barelwood.com,official_home_participant_section,,found,https://barelwood.com/,public website email enrichment,barel@barelwood.com,only valid public business email found
БАНИ-ЭКСПО 2026,Solar Stone Studio,Solar Stone Studio,"янтарные панели, янтарная плитка",Россия,,,,,материалы для бань; декор для SPA,"Official participant text describes decorative natural amber panels and tiles for baths, saunas and SPA zones.",,https://Www.sss-amber.ru,ekaterina.vlasova.kd@yandex.ru,,https://expo-bani.ru/,bani-expo-2026-official-009,S,"кий природный смолисто-хвойный аромат, усиливая эффект расслабления во время банных процедур и создаёт ощущение природной ароматерапии в парной. Преимущества янтарных панелей в бане и сауне: - устойчивы к высокой температуре и влажности, температура нагрева до 150°С - сделаем любые формы и размеры создают мягкий тёплый янтарный свет - создают мягкий тёплый янтарный свет - натуральный камень улучшает атмосферу отдыха и релакса - экологично и безопасно для парной - эксклюзивный внешний вид — каждая панель уникальна. Solar Stone Studio Подробнее «Лапин Сыр» — дом фермерских продуктов из Подмосковья. Мы производим и собираем крафтовые сыры, мясные делика",ok,,2026-08-24T05:24:47Z,bani-expo-2026-official-site-signo-v1.0.1,ok,ok,,new,no exact email or safe company-owned domain found in current Twenty,,,,ekaterina.vlasova.kd@yandex.ru,sss-amber.ru; yandex.ru,official_home_participant_section,,found,https://sss-amber.ru/,public website email enrichment,ekaterina.vlasova.kd@yandex.ru,only valid public business email found
БАНИ-ЭКСПО 2026,Лапин Сыр,Лапин Сыр,"сыры, мясные деликатесы, фермерские колбасы, гастрономия",Россия,,,,,пищевые продукты,"Official participant text describes craft cheeses, meat delicacies, farmer sausages and European gastronomy from Moscow region.",,https://vk.ru/lapin_cheese,,,https://expo-bani.ru/,bani-expo-2026-official-010,Л,"аромат, усиливая эффект расслабления во время банных процедур и создаёт ощущение природной ароматерапии в парной. Преимущества янтарных панелей в бане и сауне: - устойчивы к высокой температуре и влажности, температура нагрева до 150°С - сделаем любые формы и размеры создают мягкий тёплый янтарный свет - создают мягкий тёплый янтарный свет - натуральный камень улучшает атмосферу отдыха и релакса - экологично и безопасно для парной - эксклюзивный внешний вид — каждая панель уникальна. Solar Stone Studio Подробнее «Лапин Сыр» — дом фермерских продуктов из Подмосковья. Мы производим и собираем крафтовые сыры, мясные деликатесы, фермерские колб",ok,,2026-08-24T05:24:47Z,bani-expo-2026-official-site-signo-v1.0.1,ok,ok,,new,no exact email or safe company-owned domain found in current Twenty,,,,,vk.ru,official_home_participant_section,,,,,,
БАНИ-ЭКСПО 2026,Ярославская овчинно-меховая фабрика,Ярославская овчинно-меховая фабрика,"шапки для бани, варежки, тулупы, меховые покрывала, чуни",Россия,,,,,банный текстиль; одежда для бани,"Official participant text describes bath hats, mittens, sheepskin coats, fur blankets and soft footwear from a full-cycle fur factory.",,https://t.me/mirbann777,,,https://expo-bani.ru/,bani-expo-2026-official-011,Я,"на. Лапин Сыр Подробнее Всем привет. Мы большая овчинно-меховая фабрика. Мы шьём больше двух лет шапки для бани (5 моделей, 7 цветов), варежки, тулупы, бекеши, полушубки, меховые покрывала, чуни. Нас знает банный мир, мы спонсоры банных соревнований. В наших шапках победители и судьи соревнований! Приглашаю дилеров из регионов. Научу, как работать с банными комплексами. Мы развиваем культуру русской бани. Бани увеличиваются, спрос растёт. Мы единственная фабрика полного цикла с пакетом документов и честным знаком. Ярославская овчинно-меховая фабрика Подробнее «Банная Мекка» — бренд одежды, текстиля и аксессуаров для жизни, бани и отдыха. Мы сочетаем проверенные конст",ok,,2026-08-24T05:24:47Z,bani-expo-2026-official-site-signo-v1.0.1,ok,ok,,new,no exact email or safe company-owned domain found in current Twenty,,,,,t.me,official_home_participant_section,,,,,,
БАНИ-ЭКСПО 2026,Банная Мекка,Банная Мекка,"одежда для бани, банный текстиль, аксессуары для бани",Россия,,,,,банный текстиль; аксессуары для бани,"Official participant text describes clothing, textiles and accessories for life, bath and leisure, including branded bath fabric goods.",,https://bannayamekka.ru/?ysclid=mshercot9965626743,info@bannayamekka.ru; mitroshshop@gmail.com; pr@bannayamekka.ru; sales@bannayamekka.ru,,https://expo-bani.ru/,bani-expo-2026-official-012,Б,"овчинно-меховая фабрика. Мы шьём больше двух лет шапки для бани (5 моделей, 7 цветов), варежки, тулупы, бекеши, полушубки, меховые покрывала, чуни. Нас знает банный мир, мы спонсоры банных соревнований. В наших шапках победители и судьи соревнований! Приглашаю дилеров из регионов. Научу, как работать с банными комплексами. Мы развиваем культуру русской бани. Бани увеличиваются, спрос растёт. Мы единственная фабрика полного цикла с пакетом документов и честным знаком. Ярославская овчинно-меховая фабрика Подробнее «Банная Мекка» — бренд одежды, текстиля и аксессуаров для жизни, бани и отдыха. Мы сочетаем проверенные конструкционные решения со св",ok,,2026-08-24T05:24:47Z,bani-expo-2026-official-site-signo-v1.0.1,ok,ok,,new,no exact email or safe company-owned domain found in current Twenty,,,,info@bannayamekka.ru; mitroshshop@gmail.com; pr@bannayamekka.ru; sales@bannayamekka.ru,bannayamekka.ru; gmail.com,official_home_participant_section,,found,https://bannayamekka.ru/?ysclid=mshercot9965626743,public website email enrichment,sales@bannayamekka.ru,commercial/partnership mailbox
