event_name,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,source_sheet
PROFBEAUTY EXPO 2026,Kinexib,Kinexib,тейпы,Россия,,,11,"Event-Холл «ИнфоПространство», Москва",тейпы; спортивная медицина; косметология,"Компания Kinexib, основанная в 2010 году, стала одним из первых российских производителей тейпов. По сей день бренд удерживает лидерство в данной нише и активно развивает ее. Миссией стало создание эффективной доступной продукции и популяризация тейпирования не только в спорте, но и в повседневной жизни. Продукция Kinexib по праву заслужила признание профессионалов в своей области и используется в работе массажистов, врачей, тренеров и косметологов. Kinexib помогает своим клиентам достигать целей – будь то восстановление после травмы, снятие боли, стремление к высоким спортивным результатам, желание скорректировать фигуру или сохранить молодость. При производстве тейпов используются японские и немецкие технологии, а сырье соответствует высоким требованиям качества. Вся продукция Kinexib безопасна и имеет необходимые медицинские удостоверения и сертификаты. Компания отслеживает последние тенденции в индустрии, что позволяет регулярно создавать эффективные и востребованные новинки.",,https://kinexib.ru/,,,https://profbeauty-expo.ru/uchastniki_old7,profbeauty-expo-2026-official-old7-001,"* ![Image 3](https://static.tildacdn.com/tild3132-6163-4635-a232-656333336433/kinexib_logotype.svg) Kinexib стенд № 11 Компания Kinexib, основанная в 2010 году, стала одним из первых российских производителей тейпов. По сей день бренд удерживает лидерство в данной нише и активно развивает ее. Миссией стало создание эффективной доступной продукции и популяризация тейпирования не только в спорте, но и в повседневной жизни. Продукция Kinexib по праву заслужила признание профессионалов в своей области и используется в работе массажистов, врачей, тренеров и косметологов. Kinexib помогает своим клиентам достигать целей – будь то восстановление после травмы, снятие боли, стремление к высоким спортивным результатам, желание скорректировать фигуру или сохранить молодость. При производстве тейпов используются японские и немецкие технологии, а сырье соответствует высоким требованиям качества. Вся продукция Kinexib безопасна и имеет необходимые медицинские удостоверения и сертификаты. Компания отслеживает последние тенденции в индустрии, что позволяет регулярно создавать эффективные и востребованные новинки. [kinexib.ru](https://kinexib.ru/)",ok,,2026-07-11T20:26:22.242307+00:00,profbeauty-expo-2026-official-archived-participants-signo-v1.0.1,official archived participants page 25–27 March 2026
PROFBEAUTY EXPO 2026,Medical Technologies Alliance,Medical Technologies Alliance,"косметологическое оборудование, медицинское оборудование",,,,12,"Event-Холл «ИнфоПространство», Москва",медицинское оборудование; косметологическое оборудование,"Компания МТА - это комфортная и постоянно развивающаяся экосистема для вашего красивого бизнеса. Мы основаны в 2017 году и наша основная специализация- это эксклюзивная дистрибьюция мировых премиальных брендов медицинского и косметологического оборудования, таких как Quanta System, Endymed, FRAXOR и SALANO. Мы не просто продаем аппараты. Мы подбираем оптимальные решения для лучшего развития вашего бизнеса. MTA – это поддержка на всех этапах, консультация по бизнесу и маркетингу, сервис и комьюнити единомышленников!",,https://mt-alliance.com/,,,https://profbeauty-expo.ru/uchastniki_old7,profbeauty-expo-2026-official-old7-002,"* ![Image 4](https://thb.tildacdn.com/tild6265-3933-4537-b766-313036666437/-/empty/MTA.png) Medical Technologies Alliance стенд № 12 Компания МТА - это комфортная и постоянно развивающаяся экосистема для вашего красивого бизнеса. Мы основаны в 2017 году и наша основная специализация- это эксклюзивная дистрибьюция мировых премиальных брендов медицинского и косметологического оборудования, таких как Quanta System, Endymed, FRAXOR и SALANO. Мы не просто продаем аппараты. Мы подбираем оптимальные решения для лучшего развития вашего бизнеса. MTA – это поддержка на всех этапах, консультация по бизнесу и маркетингу, сервис и комьюнити единомышленников! [mt-alliance.com](https://mt-alliance.com/) ![Image 5](https://thb.tildacdn.com/tild3630-3861-4537-b033-346333386239/-/empty/Quanta_System.png) ![Image 6](https://thb.tildacdn.com/tild6465-6261-4137-b837-326431663936/-/empty/ENDYMED.png) ![Image 7](https://thb.tildacdn.com/tild3437-3265-4732-b364-333332373064/-/empty/FRAXOR.jpeg) ![Image 8](https://thb.tildacdn.com/tild3032-3435-4532-a438-383666313130/-/empty/SALANO.png)",ok,,2026-07-11T20:26:22.242307+00:00,profbeauty-expo-2026-official-archived-participants-signo-v1.0.1,official archived participants page 25–27 March 2026
PROFBEAUTY EXPO 2026,Capello Lasers,Capello Lasers,"лазерное оборудование, косметологическое оборудование",,,,13,"Event-Холл «ИнфоПространство», Москва",лазерные аппараты; косметология,"CAPELLO LASERS – это платформа, которая позволяет работать с одной, или объединить две из пяти самых востребованных технологий в одном корпусе, работающих независимо друг от друга. CAPELLO CO2 RE:FLEX: лазерное абляционное омоложение лазерная шлифовка стрий, рубцов, растяжек, постакне, расширенных пор удаление новообразований. CAPELLO E-LIGHT (IPL+RF, SHR): фотоэпиляция, лечение купероза и лечение акне, удаление пигментации. CAPELLO DIODE EVENTUM: лазерная эпиляция, диодное омоложение и лифтинг кожи. CAPELLO Nd:YAG (Q-switched): карбоновый пилинг, удаление тату и татуажа любых цветов, удаление пигментаций. CAPELLO RF:подтяжка и омоложение кожи лица и шеи.",,http://capellolaser.ru/,,,https://profbeauty-expo.ru/uchastniki_old7,profbeauty-expo-2026-official-old7-003,"* ![Image 9](https://static.tildacdn.com/tild3330-3130-4339-b132-313761613636/CAPELLO.svg) Capello Lasers стенд № 13 CAPELLO LASERS – это платформа, которая позволяет работать с одной, или объединить две из пяти самых востребованных технологий в одном корпусе, работающих независимо друг от друга. * CAPELLO CO2 RE:FLEX: лазерное абляционное омоложение лазерная шлифовка стрий, рубцов, растяжек, постакне, расширенных пор удаление новообразований. * CAPELLO E-LIGHT (IPL+RF, SHR): фотоэпиляция, лечение купероза и лечение акне, удаление пигментации. * CAPELLO DIODE EVENTUM: лазерная эпиляция, диодное омоложение и лифтинг кожи. * CAPELLO Nd:YAG (Q-switched): карбоновый пилинг, удаление тату и татуажа любых цветов, удаление пигментаций. * CAPELLO RF:подтяжка и омоложение кожи лица и шеи. [capellolaser.ru](http://capellolaser.ru/)",ok,,2026-07-11T20:26:22.242307+00:00,profbeauty-expo-2026-official-archived-participants-signo-v1.0.1,official archived participants page 25–27 March 2026
PROFBEAUTY EXPO 2026,Magic Aura,Magic Aura,косметологическое оборудование,Россия,,,14,"Event-Холл «ИнфоПространство», Москва",аппаратная косметология,"Magic Aura — стратегический партнёр эстетического бизнеса. Мы объединяем технологии, экспертность, сервис и маркетинг в единую систему, которая обеспечивает клиникам не просто оборудование, а устойчивый рост, конкурентное преимущество и масштабирование. Наши аппараты брендов Меджик (Magic) и Ixtron разрабатываются и собираются российской научно-производственной компанией Melsytech. Мы не просто поставляем оборудование — мы создаём систему устойчивого роста, где каждая единица техники интегрирована в бизнес-модель клиента и приносит прогнозируемый доход.",,http://magicprodo.com/,,,https://profbeauty-expo.ru/uchastniki_old7,profbeauty-expo-2026-official-old7-004,"* ![Image 10](https://thb.tildacdn.com/tild3066-3864-4736-b166-323137313232/-/empty/magic_aura_RGB.png) Magic Aura стенд № 14 Magic Aura — стратегический партнёр эстетического бизнеса. Мы объединяем технологии, экспертность, сервис и маркетинг в единую систему, которая обеспечивает клиникам не просто оборудование, а устойчивый рост, конкурентное преимущество и масштабирование. Наши аппараты брендов Меджик (Magic) и Ixtron разрабатываются и собираются российской научно-производственной компанией Melsytech. Мы не просто поставляем оборудование — мы создаём систему устойчивого роста, где каждая единица техники интегрирована в бизнес-модель клиента и приносит прогнозируемый доход. [magicprodo.com](http://magicprodo.com/) ![Image 11](https://thb.tildacdn.com/tild6136-3763-4663-b261-363131626139/-/empty/Magic.png) ![Image 12](https://thb.tildacdn.com/tild6333-6565-4531-b463-393463613732/-/empty/ixtron_.png)",ok,,2026-07-11T20:26:22.242307+00:00,profbeauty-expo-2026-official-archived-participants-signo-v1.0.1,official archived participants page 25–27 March 2026
PROFBEAUTY EXPO 2026,RUIKD,RUIKD,косметологическое оборудование,,,,15,"Event-Холл «ИнфоПространство», Москва",лазерная эпиляция; smas-лифтинг; rf-оборудование,"Если вы думаете о запуске или расширении бизнеса в сфере аппаратной косметологии, RUIKD – лучший выбор! RUIKD – премиальное южнокорейское оборудование – №1 для салонов красоты, частных кабинетов и клиник. Лидер рынка в разных областях: Лазерная эпиляция Микроигольчатый RF и SMAS-лифтинг Коррекция фигуры IPL фотосистемы для лечения пигментации, сосудов и омоложения Фракционные СО2 лазеры Неодимовые Q-switch лазеры и т.д. Миссия RUIKD Помочь салонам красоты, частным кабинетам и клиникам стать успешными и прибыльными, предоставляя оборудование высокого качества. Мы гарантируем успешное развитие бизнеса своим клиентам и предлагаем полный спектр услуг, начиная от помощи в выборе оборудования до рекламного сопровождения под ключ. За 14 лет работы более 4000 довольных заказчиков от Калининграда до Владивостока!",,https://ruikd.ru/,,,https://profbeauty-expo.ru/uchastniki_old7,profbeauty-expo-2026-official-old7-005,"* ![Image 13](https://static.tildacdn.com/tild6331-3237-4666-a538-653536306335/RUIKD.svg) RUIKD стенд № 15 Если вы думаете о запуске или расширении бизнеса в сфере аппаратной косметологии, RUIKD – лучший выбор! RUIKD – премиальное южнокорейское оборудование – №1 для салонов красоты, частных кабинетов и клиник. Лидер рынка в разных областях: * Лазерная эпиляция * Микроигольчатый RF и SMAS-лифтинг * Коррекция фигуры * IPL фотосистемы для лечения пигментации, сосудов и омоложения * Фракционные СО2 лазеры * Неодимовые Q-switch лазеры и т.д. Миссия RUIKD Помочь салонам красоты, частным кабинетам и клиникам стать успешными и прибыльными, предоставляя оборудование высокого качества. Мы гарантируем успешное развитие бизнеса своим клиентам и предлагаем полный спектр услуг, начиная от помощи в выборе оборудования до рекламного сопровождения под ключ. За 14 лет работы более 4000 довольных заказчиков от Калининграда до Владивостока! [ruikd.ru](https://ruikd.ru/)",ok,,2026-07-11T20:26:22.242307+00:00,profbeauty-expo-2026-official-archived-participants-signo-v1.0.1,official archived participants page 25–27 March 2026
PROFBEAUTY EXPO 2026,АтисМед,АтисМед,"косметологическое оборудование, косметологическая мебель",Россия,,,"16, 17","Event-Холл «ИнфоПространство», Москва",аппаратная косметология; оснащение клиник,"АтисМед – российский производитель, меняющий правила в косметологии. Уже 10 лет мы создаем оборудование, которое помогает клиникам зарабатывать больше, а пациентам - дольше оставаться молодыми. Наш прорыв – SkinHale: уникальная аэродинамическая технология клеточного омоложения. В 3 раза мощнее газо-жидкостного пилинга, с глубокой биомодуляцией без боли и восстановления. Мы предлагаем: инновационные аппараты и косметологическую мебель полное оснащение клиник маркетинговую поддержку и профессиональное сообщество",,https://atismed.ru/,,,https://profbeauty-expo.ru/uchastniki_old7,profbeauty-expo-2026-official-old7-006,"* ![Image 14](https://static.tildacdn.com/tild3362-6465-4132-b762-356263663266/photo.svg) АтисМед стенд № 16, 17 АтисМед – российский производитель, меняющий правила в косметологии. Уже 10 лет мы создаем оборудование, которое помогает клиникам зарабатывать больше, а пациентам - дольше оставаться молодыми. Наш прорыв – SkinHale: уникальная аэродинамическая технология клеточного омоложения. В 3 раза мощнее газо-жидкостного пилинга, с глубокой биомодуляцией без боли и восстановления. Мы предлагаем: * инновационные аппараты и косметологическую мебель * полное оснащение клиник * маркетинговую поддержку и профессиональное сообщество [atismed.ru](https://atismed.ru/)",ok,,2026-07-11T20:26:22.242307+00:00,profbeauty-expo-2026-official-archived-participants-signo-v1.0.1,official archived participants page 25–27 March 2026
PROFBEAUTY EXPO 2026,SPAQUATORIA Professional,SPAQUATORIA Professional,"профессиональная косметика, косметические ингредиенты",,,,"18, 19","Event-Холл «ИнфоПространство», Москва",профессиональная косметика; биологически активные ингредиенты,"Spaquatoria – этичная профессиональная косметика. Наша сила в собственном научно-производственном объединении, уникальных технологиях, опыте производства биологически активных ингредиентов и косметики с 1989 года. И главное, в семейной преемственности. Философия бренда гласит: «Тело – это храм, в котором живет душа». Поэтому при разработке средств исключены животные ингредиенты, которые добыты с причинением насилия, и химически агрессивные компоненты, несущие потенциальный вред здоровью и окружающей среде. Также в составах мы избегаем балластных веществ. Например, воду в рецептуре мы заменяем на отвар лекарственных трав, синтетические ароматизаторы – на натуральные эфирные масла, используем «зеленые» консерванты и растительные эмульгаторы. Нашу косметику можно назвать живой, она общается с каждой клеточкой тела, великолепно ухаживает за кожей, придает совершенство телу и гармонизирует психоэмоциональное состояние. Почувствуй счастье кожей со Spaquatoria!",,https://spaquatoria.ru/,,,https://profbeauty-expo.ru/uchastniki_old7,profbeauty-expo-2026-official-old7-007,"* ![Image 15](https://static.tildacdn.com/tild6632-3735-4935-a465-323662646135/spaquatoria.svg) SPAQUATORIA Professional стенд № 18, 19 Spaquatoria – этичная профессиональная косметика. Наша сила в собственном научно-производственном объединении, уникальных технологиях, опыте производства биологически активных ингредиентов и косметики с 1989 года. И главное, в семейной преемственности. Философия бренда гласит: «Тело – это храм, в котором живет душа». Поэтому при разработке средств исключены животные ингредиенты, которые добыты с причинением насилия, и химически агрессивные компоненты, несущие потенциальный вред здоровью и окружающей среде. Также в составах мы избегаем балластных веществ. Например, воду в рецептуре мы заменяем на отвар лекарственных трав, синтетические ароматизаторы – на натуральные эфирные масла, используем «зеленые» консерванты и растительные эмульгаторы. Нашу косметику можно назвать живой, она общается с каждой клеточкой тела, великолепно ухаживает за кожей, придает совершенство телу и гармонизирует психоэмоциональное состояние. Почувствуй счастье кожей со Spaquatoria! [spaquatoria.ru](https://spaquatoria.ru/)",ok,,2026-07-11T20:26:22.242307+00:00,profbeauty-expo-2026-official-archived-participants-signo-v1.0.1,official archived participants page 25–27 March 2026
PROFBEAUTY EXPO 2026,PROF BEAUTY,PROF BEAUTY,косметологическое оборудование,,,,"20, 21","Event-Холл «ИнфоПространство», Москва",аппаратная косметология,"Мы создаем не просто оборудование – мы создаем решения, которые меняют правила игры в сфере аппаратной косметологии. PROF BEAUTY с вами на каждом этапе, чтобы ваш бизнес был успешным и эффективным. Поддержка 24/7. В любое время и в любом месте мы всегда на связи, обеспечивая бесперебойную работу вашего оборудования. Юридическая экспертиза. Наши специалисты предоставляют все необходимые знания и поддержку, чтобы вы могли сосредоточиться на главном – развитии вашего бизнеса. Маркетинговая поддержка. Мы предлагаем проверенные инструменты, которые помогут вашему бренду быть на вершине, а инвестициям – приносить максимальную отдачу. Если вы стремитесь к совершенству и ищете надежного партнера, разделяющего ваши амбиции – вам к нам.",,https://profbeauty.ru/,,,https://profbeauty-expo.ru/uchastniki_old7,profbeauty-expo-2026-official-old7-008,"* ![Image 16](https://thb.tildacdn.com/tild3433-3534-4163-a536-386266613864/-/empty/_-1.png) PROF BEAUTY стенд № 20, 21 Мы создаем не просто оборудование – мы создаем решения, которые меняют правила игры в сфере аппаратной косметологии. PROF BEAUTY с вами на каждом этапе, чтобы ваш бизнес был успешным и эффективным. * Поддержка 24/7. В любое время и в любом месте мы всегда на связи, обеспечивая бесперебойную работу вашего оборудования. * Юридическая экспертиза. Наши специалисты предоставляют все необходимые знания и поддержку, чтобы вы могли сосредоточиться на главном – развитии вашего бизнеса. * Маркетинговая поддержка. Мы предлагаем проверенные инструменты, которые помогут вашему бренду быть на вершине, а инвестициям – приносить максимальную отдачу. Если вы стремитесь к совершенству и ищете надежного партнера, разделяющего ваши амбиции – вам к нам. [profbeauty.ru](https://profbeauty.ru/)",ok,,2026-07-11T20:26:22.242307+00:00,profbeauty-expo-2026-official-archived-participants-signo-v1.0.1,official archived participants page 25–27 March 2026
PROFBEAUTY EXPO 2026,HUBLLOT,HUBLLOT,массажные кресла,,,,22,"Event-Холл «ИнфоПространство», Москва",массажное оборудование,"Hubllot – Швейцарская роскошь комфорта Представляем вам эксклюзивные массажные кресла премиум-класса от бренда Hubllot, олицетворяющие изысканность Швейцарии и передовые технологии мирового уровня. Максимальная релаксация: наши кресла оснащены интеллектуальной системой сканирования тела, обеспечивающей идеальный массаж, учитывающий ваши уникальные потребности. Невероятные ощущения: новейшие технологии позволяют достичь максимального эффекта релаксации и восстановления организма. Премиальный стиль: элегантный дизайн, созданный известными дизайнерами, идеально впишется в любое пространство и подчеркнет ваш высокий статус. Идеально продуманная конструкция: анатомически правильное расположение элементов обеспечивает идеальное распределение нагрузки и полное погружение в состояние покоя. Выбирайте качество и престиж с массажными креслами Hubllot.",,https://kreslo-shop.ru/?ysclid=mmdascubrz816747132,,,https://profbeauty-expo.ru/uchastniki_old7,profbeauty-expo-2026-official-old7-009,"* ![Image 17](https://static.tildacdn.com/tild6134-6235-4137-b962-613564386664/THE_HUBLLOT.svg) HUBLLOT стенд №22 Hubllot – Швейцарская роскошь комфорта Представляем вам эксклюзивные массажные кресла премиум-класса от бренда Hubllot, олицетворяющие изысканность Швейцарии и передовые технологии мирового уровня. * Максимальная релаксация: наши кресла оснащены интеллектуальной системой сканирования тела, обеспечивающей идеальный массаж, учитывающий ваши уникальные потребности. * Невероятные ощущения: новейшие технологии позволяют достичь максимального эффекта релаксации и восстановления организма. * Премиальный стиль: элегантный дизайн, созданный известными дизайнерами, идеально впишется в любое пространство и подчеркнет ваш высокий статус. * Идеально продуманная конструкция: анатомически правильное расположение элементов обеспечивает идеальное распределение нагрузки и полное погружение в состояние покоя. Выбирайте качество и престиж с массажными креслами Hubllot. [kreslo-shop.ru](https://kreslo-shop.ru/?ysclid=mmdascubrz816747132)",ok,,2026-07-11T20:26:22.242307+00:00,profbeauty-expo-2026-official-archived-participants-signo-v1.0.1,official archived participants page 25–27 March 2026
PROFBEAUTY EXPO 2026,KARL BOLT&POSH,KARL BOLT&POSH,"декоративная косметика, кремы, сыворотки, косметика для волос",,,,23,"Event-Холл «ИнфоПространство», Москва",декоративная косметика; уходовая косметика,"Это инновации в сфере косметологии и макияжа! Мощный и ёмкий лозунг – вдохновляй, люби, восхищай! Себя и всех вокруг! Магия и очарование женской красоты глазами мужчины-творца! Железобетонная стойкость 24 ч. Новейшие запатентованные органик-формулы в элитном корпусе, уникальные новинки косметологии: реставратор лица, мульти-крем «Шёлковая органолептика», омолаживающие масляные сыворотки «тайский spa» и «кожа дельфина», код молодости и ритуал красоты, тюнинг волос, совершенный тон «Блок дефектов без фотошопа»! Это не оставит вас равнодушными. POSH научит искусству железобетонного макияжа легко и эксклюзивно и расскажет, как выглядеть гармонично и изысканно на работе, вечернике, в отпуске! Топ-гримёры брендов индивидуально подберут вам косметичку «Макияж в кармане», – ничего лишнего, только то, что подходит вам и чем будете пользоваться каждый день, не тратя лишний бюджет на косметику!",,https://karlbolt.com/,,,https://profbeauty-expo.ru/uchastniki_old7,profbeauty-expo-2026-official-old7-010,"* ![Image 18](https://thb.tildacdn.com/tild6136-3237-4735-a237-336265313335/-/empty/KARL_BOLTPOSH_2.png) KARL BOLT&POSH стенд № 23 Это инновации в сфере косметологии и макияжа! Мощный и ёмкий лозунг – вдохновляй, люби, восхищай! Себя и всех вокруг! Магия и очарование женской красоты глазами мужчины-творца! Железобетонная стойкость 24 ч. Новейшие запатентованные органик-формулы в элитном корпусе, уникальные новинки косметологии: реставратор лица, мульти-крем «Шёлковая органолептика», омолаживающие масляные сыворотки «тайский spa» и «кожа дельфина», код молодости и ритуал красоты, тюнинг волос, совершенный тон «Блок дефектов без фотошопа»! Это не оставит вас равнодушными. POSH научит искусству железобетонного макияжа легко и эксклюзивно и расскажет, как выглядеть гармонично и изысканно на работе, вечернике, в отпуске! Топ-гримёры брендов индивидуально подберут вам косметичку «Макияж в кармане», – ничего лишнего, только то, что подходит вам и чем будете пользоваться каждый день, не тратя лишний бюджет на косметику! [karlbolt.com](https://karlbolt.com/) [poshprof.com](https://poshprof.com/)",ok,,2026-07-11T20:26:22.242307+00:00,profbeauty-expo-2026-official-archived-participants-signo-v1.0.1,official archived participants page 25–27 March 2026
