event_name,event_dates,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,alpha_filter,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,short_name_check,products_check,qa_notes,signo_status,repeat_reason,matched_crm_email,matched_crm_domain,matched_crm_company,candidate_emails,candidate_top_domains,source_sheet,source_removed_reason,website_email_status,website_email_source_url,website_email_notes,main email,main_email_reason
InterCHARM 2026,14–17 октября 2026,Nobu,Nobu,бытовая химия и хозяйственные товары,RUS,Москва,,13C11,Зал 13 – Косметика и парфюмерия. Бытовая химия.,Бытовая химия и хозяйственные товары; Зал 13 – Косметика и парфюмерия. Бытовая химия.; Впервые на выставке,"ЭКО-бренд эффективных и гипоаллергенных средств для дома. Японская технология NANOGREEN обеспечивает глубокое очищение на уровне мельчайших соединений | ЭКО-бренд эффективных и гипоаллергенных средств для дома. Японская технология NANOGREEN обеспечивает глубокое очищение на уровне мельчайших соединений. Изготовлено по заказу и под контролем ""Japan Innovative Eco Products Co. Ltd"", Town Heights Ginza 406, 7-15-8, Ginza, Chuo-ku, Tokyo, 104-0061, Japan/Япония. | Познакомиться с брендом и новинками.",Nobu,https://nobu.eco,info@nobu.eco,+7 800 300 26 26,https://personal-account.expovr.ru/widget/preset/ru/69d8e35163aa2ec91670244b/exhibitor/6a993ad93458addbcaa270ac/-/-/-,6a993ad93458addbcaa270ac,RUS_product_candidate,"Бытовая химия и хозяйственные товары; Зал 13 – Косметика и парфюмерия. Бытовая химия.; Впервые на выставке | ЭКО-бренд эффективных и гипоаллергенных средств для дома. Японская технология NANOGREEN обеспечивает глубокое очищение на уровне мельчайших соединений | ЭКО-бренд эффективных и гипоаллергенных средств для дома. Японская технология NANOGREEN обеспечивает глубокое очищение на уровне мельчайших соединений. Изготовлено по заказу и под контролем ""Japan Innovative Eco Products Co. Ltd"", Town Heights Ginza 406, 7-15-8, Ginza, Chuo-ku, Tokyo, 104-0061, Japan/Япония. | Познакомиться с брендом и новинками. | brand: Nobu",ok,,2026-09-21T05:23:31Z,intercharm-2026-official-expovr-signo-v1.0.0,ok,ok,kept: RUS row with cosmetics/perfumery/household-chemistry/ingredient/equipment product evidence,new,no exact email/domain/name match in read-only Twenty repeat index,,,,info@nobu.eco,nobu.eco,official_expovr_catalog_api,,official_email_present,,,info@nobu.eco,official catalogue public email
InterCHARM 2026,14–17 октября 2026,Гельтек,Гельтек,лечебная косметика и космецевтика; домашний уход за волосами; уход за кожей лица и тела,RUS,Москва,,18E6,Зал 18 – Профессиональная косметика и косметология,Лечебная косметика и космецевтика; Домашний уход за волосами; Уход за кожей лица и тела; Зал 18 – Профессиональная косметика и косметология,"Geltek - крупнейший производитель профессиональной косметики для аппаратной косметологии и домашнего ухода за кожей | Компания «Гельтек-Медика» занимает лидирующие позиции на рынке профессиональной косметики для аппаратной косметологии и домашнего ухода за кожей в России уже более 30 лет. Продукция Гельтек — это инновационная «умная» косметика, разработанная в медицинской лаборатории совместно с экспертами и дерматологами для решения любых проблем с кожей. Эффективность продукции не только подтверждена и доказана, но и проста в использовании и доступна по приятной цене. Компания строго контролирует качество, используя сырье от надежных производителей, соблюдая стандарты качества GMP. | Бесплатная диагностика кожи лица и головы, консультации дерматологов и трихологов","Geltek, Geltek body, Geltek hair, Geltek men, Geltek sport, Geltek love, Geltek pets, The U",https://geltek.ru/cosmetics/,info@geltek.ru,+7 495 212 93 66,https://personal-account.expovr.ru/widget/preset/ru/69d8e35163aa2ec91670244b/exhibitor/6a216c44abda71a4e0208d26/-/-/-,6a216c44abda71a4e0208d26,RUS_product_candidate,"Лечебная косметика и космецевтика; Домашний уход за волосами; Уход за кожей лица и тела; Зал 18 – Профессиональная косметика и косметология | Geltek - крупнейший производитель профессиональной косметики для аппаратной косметологии и домашнего ухода за кожей | Компания «Гельтек-Медика» занимает лидирующие позиции на рынке профессиональной косметики для аппаратной косметологии и домашнего ухода за кожей в России уже более 30 лет. Продукция Гельтек — это инновационная «умная» косметика, разработанная в медицинской лаборатории совместно с экспертами и дерматологами для решения любых проблем с кожей. Эффективность продукции не только подтверждена и доказана, но и проста в использовании и доступна по приятной цене. Компания строго контролирует качество, используя сырье от надежных производителей, соблюдая стандарты качества GMP. | Бесплатная диагностика кожи лица и головы, консультации дермато",ok,,2026-09-21T05:23:31Z,intercharm-2026-official-expovr-signo-v1.0.0,ok,ok,kept: RUS row with cosmetics/perfumery/household-chemistry/ingredient/equipment product evidence,new,no exact email/domain/name match in read-only Twenty repeat index,,,,info@geltek.ru,geltek.ru,official_expovr_catalog_api,,official_email_present,,,info@geltek.ru,official catalogue public email
InterCHARM 2026,14–17 октября 2026,ИнВита,ИнВита,сырье и ингредиенты для производства; биотехнологические косметологические препараты,RUS,Москва,,15B5,"Зал 15 - Решения для производства косметики, парфюмерии и бытовой химии","Сырье и ингредиенты для производства; Разработка рецептур; Зал 15 - Решения для производства косметики, парфюмерии и бытовой химии","ИнВита — дистрибьютор ингредиентов для косметической промышленности, БАД и функционального питания | Уже 17 лет «ИнВита» поставляет высокотехнологичные ингредиенты от ведущих международных и локальных производителей. Ключевые направления экспертизы: • глубокий анализ рынка: непрерывный мониторинг технологических трендов, повышающих востребованность продукта • разработка концепций под конкретные задачи на основе синергии технического опыта и регулярного обучения команды • подбор ингредиентов с учётом предпочтений и методов продвижения • полное сопровождение вашего продукта — от первоначальной идеи до финального выпуска готового продукта Наш стенд: 15B5 invita-rus.ru | info@invita-rus.ru | Ищете высокотехнологичные ингредиенты? Приглашаем посетить стенд ИнВиты, где вы сможете лично встретиться с нашими зарубежными партнёрами: Fenhao (отдушки и ароматизаторы), Winkey (запатентованные пептиды и инновационные активные ингредиенты), Dipu (активные ингредиенты на основе центеллы и акмеллы). Что вас ждёт: консультации технологов и разработчиков, тестирование прототипов и обсуждение индивидуальных условий сотрудничества.",,https://www.invita-rus.ru,info@invita-rus.ru,+7 495 287 07 33,https://personal-account.expovr.ru/widget/preset/ru/69d8e35163aa2ec91670244b/exhibitor/6a2018c5abda71a4e0206a6c/-/-/-,6a2018c5abda71a4e0206a6c,RUS_product_candidate,"Сырье и ингредиенты для производства; Разработка рецептур; Зал 15 - Решения для производства косметики, парфюмерии и бытовой химии | ИнВита — дистрибьютор ингредиентов для косметической промышленности, БАД и функционального питания | Уже 17 лет «ИнВита» поставляет высокотехнологичные ингредиенты от ведущих международных и локальных производителей. Ключевые направления экспертизы: • глубокий анализ рынка: непрерывный мониторинг технологических трендов, повышающих востребованность продукта • разработка концепций под конкретные задачи на основе синергии технического опыта и регулярного обучения команды • подбор ингредиентов с учётом предпочтений и методов продвижения • полное сопровождение вашего продукта — от первоначальной идеи до финального выпуска готового продукта Наш стенд: 15B5 invita-rus.ru | info@invita-rus.ru | Ищете высокотехнологичные ингредиенты? Приглашаем посетить стенд ИнВит",ok,,2026-09-21T05:23:31Z,intercharm-2026-official-expovr-signo-v1.0.0,ok,ok,kept: RUS row with cosmetics/perfumery/household-chemistry/ingredient/equipment product evidence,repeat,exact email match in Twenty repeat index: info@invita-rus.ru,info@invita-rus.ru,,Смальтер,info@invita-rus.ru,invita-rus.ru,official_expovr_catalog_api,,official_email_present,,,info@invita-rus.ru,official catalogue public email
InterCHARM 2026,14–17 октября 2026,19Lab onSkin,19Lab onSkin,домашний уход за волосами,RUS,Санкт-Петербург,,,,Домашний уход за волосами; Производственное оборудование; Разработка рецептур,"Российский бренд pro-активного системного ухода на стыке науки и природы: формулы от 90% органики и 19 ступеней лабораторного контроля качества. | 19Lab onSkin — российский разработчик наукоемких эко-формул для волос и кожи. Мы развиваем сбалансированную пятиступенчатую систему ухода, формулы которой более чем на 90% состоят из натуральных компонентов и передовых активов. Наши преимущества: 19 ступеней сквозного лабораторного контроля качества, полная безопасность формул без агрессивных сульфатов и парабенов, восстановление структуры клеток изнутри и видимый салонный эффект дома. Это уход для осознанных потребителей с высоким уровнем избирательности, выбирающих концепцию чистой красоты. | На нашем стенде вы сможете лично попробовать на себе наши главные бестселлеры, протестировать их текстуры и оценить действие умных эко-формул. Каждого посетителя ждет участие в нашей беспроигрышной лотерее с ценными подарками от бренда, а также уникальная возможность приобрести любую продукцию со специальной праздничной скидкой. Мы презентуем востребованную пятиступенчатую систему ухода за волосами и кожей, а многое другое вы увидите прямо на выставке. Приходите за индивидуальными консультациями, подарками и выгодными покупками!",19Lab onSkin,https://19lab.ru/,office@19lab.ru,+7 901 979 57 43,https://personal-account.expovr.ru/widget/preset/ru/69d8e35163aa2ec91670244b/exhibitor/6a0b233363aa2ec9167861f2/-/-/-,6a0b233363aa2ec9167861f2,RUS_product_candidate,"Домашний уход за волосами; Производственное оборудование; Разработка рецептур | Российский бренд pro-активного системного ухода на стыке науки и природы: формулы от 90% органики и 19 ступеней лабораторного контроля качества. | 19Lab onSkin — российский разработчик наукоемких эко-формул для волос и кожи. Мы развиваем сбалансированную пятиступенчатую систему ухода, формулы которой более чем на 90% состоят из натуральных компонентов и передовых активов. Наши преимущества: 19 ступеней сквозного лабораторного контроля качества, полная безопасность формул без агрессивных сульфатов и парабенов, восстановление структуры клеток изнутри и видимый салонный эффект дома. Это уход для осознанных потребителей с высоким уровнем избирательности, выбирающих концепцию чистой красоты. | На нашем стенде вы сможете лично попробовать на себе наши главные бестселлеры, протестировать их текстуры и оценить действ",ok,,2026-09-21T05:23:31Z,intercharm-2026-official-expovr-signo-v1.0.0,ok,ok,kept: RUS row with cosmetics/perfumery/household-chemistry/ingredient/equipment product evidence,new,no exact email/domain/name match in read-only Twenty repeat index,,,,office@19lab.ru,19lab.ru,official_expovr_catalog_api,,official_email_present,,,office@19lab.ru,official catalogue public email
InterCHARM 2026,14–17 октября 2026,1NEP,1NEP,косметологическое оборудование,RUS,Москва,,18G29,,,"1nep.ru - портал индустрии красоты. Портал 1nep.ru - крупнейшее русскоязычное профессиональное интернет-издание в области эстетической медицины. | 1nep.ru - портал индустрии красоты. На Портале представлена эксклюзивная информация и сервисы для врачей, руководителей, специалистов индустрии. У нас можно пройти обучение, узнать о ближайших профессиональных мероприятиях, продать или купить оборудование. Портал сотрудничает с большинством клиник косметологии и учебных центров, является информационным партнером ключевых мероприятий отрасли. Портал имеет в своем арсенале несколько проектов. Среди них – аппарат фотодокументирования ДОСЛЕ для клиник косметологии и пластической хирургии www.dosle.ru | Портал имеет в своем арсенале несколько проектов. Среди них – аппарат фотодокументирования ДОСЛЕ для клиник косметологии и пластической хирургии www.dosle.ru. Ждем на стенде F34, зал 20 познакомиться с данным аппаратом.",,https://www.1nep.ru/,info@1nep.ru,+7 499 350 51 08,https://personal-account.expovr.ru/widget/preset/ru/69d8e35163aa2ec91670244b/exhibitor/6aad4cf91e9e40fcf3d4f222/-/-/-,6aad4cf91e9e40fcf3d4f222,RUS_product_candidate,"1nep.ru - портал индустрии красоты. Портал 1nep.ru - крупнейшее русскоязычное профессиональное интернет-издание в области эстетической медицины. | 1nep.ru - портал индустрии красоты. На Портале представлена эксклюзивная информация и сервисы для врачей, руководителей, специалистов индустрии. У нас можно пройти обучение, узнать о ближайших профессиональных мероприятиях, продать или купить оборудование. Портал сотрудничает с большинством клиник косметологии и учебных центров, является информационным партнером ключевых мероприятий отрасли. Портал имеет в своем арсенале несколько проектов. Среди них – аппарат фотодокументирования ДОСЛЕ для клиник косметологии и пластической хирургии www.dosle.ru | Портал имеет в своем арсенале несколько проектов. Среди них – аппарат фотодокументирования ДОСЛЕ для клиник косметологии и пластической хирургии www.dosle.ru. Ждем на стенде F34, зал 20 познакомитьс",ok,,2026-09-21T05:23:31Z,intercharm-2026-official-expovr-signo-v1.0.0,ok,ok,kept: RUS row with cosmetics/perfumery/household-chemistry/ingredient/equipment product evidence,new,no exact email/domain/name match in read-only Twenty repeat index,,,,info@1nep.ru,1nep.ru,official_expovr_catalog_api,,official_email_present,,,info@1nep.ru,official catalogue public email
InterCHARM 2026,14–17 октября 2026,1WIN,1WIN,коллаген и нутрицевтики для красоты,RUS,Краснодар,,,,,"1WIN - это ПРОДУКТЫ ДЛЯ ЗДОРОВОЙ И ЭНЕРГИЧНОЙ ЖИЗНИ! Именно мы придумали коллаген вкусным! | ✅ Собственное производство сертифицированно по международным стандартам качества GMP ✅ Продукты разрабатываются командой нутрициологов, технологов, практикующих врачей и профессиональных спортсменов ✅ Контроль качества продукции на всех этапах производства ✅ Более 15 000 единиц товаров продается на маркетплейсах ежедневно ✅ Эффективность и качество доказаны миллионом положительных отзывов и независимыми экспертизами | На стенде мы представим наши самые топовые позиции - коллаген со вкусом популярных коктейлей! Обещаем самую вкусную и яркую дегустацию, а так же много подарков, призов и розыгрышей!","1WIN, SOLAB, DO ECO, LIFEON, MOVI, PROGARMONY, ULTRA BOX, BODYME",https://www.wildberries.ru/seller/50708,info@1win-group.com,+7 930 913 29 79,https://personal-account.expovr.ru/widget/preset/ru/69d8e35163aa2ec91670244b/exhibitor/6a0732f663aa2ec91678531f/-/-/-,6a0732f663aa2ec91678531f,RUS_product_candidate,"1WIN - это ПРОДУКТЫ ДЛЯ ЗДОРОВОЙ И ЭНЕРГИЧНОЙ ЖИЗНИ! Именно мы придумали коллаген вкусным! | ✅ Собственное производство сертифицированно по международным стандартам качества GMP ✅ Продукты разрабатываются командой нутрициологов, технологов, практикующих врачей и профессиональных спортсменов ✅ Контроль качества продукции на всех этапах производства ✅ Более 15 000 единиц товаров продается на маркетплейсах ежедневно ✅ Эффективность и качество доказаны миллионом положительных отзывов и независимыми экспертизами | На стенде мы представим наши самые топовые позиции - коллаген со вкусом популярных коктейлей! Обещаем самую вкусную и яркую дегустацию, а так же много подарков, призов и розыгрышей! | brand: 1WIN, SOLAB, DO ECO, LIFEON, MOVI, PROGARMONY, ULTRA BOX, BODYME",ok,,2026-09-21T05:23:31Z,intercharm-2026-official-expovr-signo-v1.0.0,ok,ok,kept: RUS row with cosmetics/perfumery/household-chemistry/ingredient/equipment product evidence,new,no exact email/domain/name match in read-only Twenty repeat index,,,,info@1win-group.com,1win-group.com,official_expovr_catalog_api,,official_email_present,,,info@1win-group.com,official catalogue public email
InterCHARM 2026,14–17 октября 2026,360 by Dr. Gubareva,360 by Dr. Gubareva,бады и нутрициология; уход за кожей лица и тела,RUS,Москва,,18E11a,Зал 18 – Профессиональная косметика и косметология,БАДы и нутрициология; Диетическое питание; суперфуды; Уход за кожей лица и тела; Зал 18 – Профессиональная косметика и косметология,"Научный подход к красоте и молодости. Прозрачный состав-предсказуемый результат. | Наш продукт 360 Collagen - это пептидный комплекс: • с 3 типами коллагена (I, II, III) для поддержки кожи, волос, суставов и соединительной ткани • с высоким уровнем аминокислотного профиля - заменимые и незаменимые аминокислоты. • с усиленной формулой витаминов, которые повышают усвояемость и стимулируют естественный синтез коллагена в организме • с биодоступностью до 96%, благодаря особенной технологии гидролиза • без уксуса, что благотворно влияет на ЖКТ Мы создали продукт, формула которого направлена на усиление естественных процессов организма. | На нашем стенде вы сможете увидеть - полный состав нашего продукта. Мы гордимся своей формулой и готовы рассказать вам подробности лично. И это ещё не всё! У нас эксклюзивная новинка - комплекс 360 против пигментации на основе растительного сырья. Это мягкое, но действенное решение для ровного тона кожи и борьбы с возрастными изменениями. Приходите познакомиться с продуктами, в которых нет ничего лишнего, только то, что действительно работает для вашего здоровья и молодости. Ждём вас!",Коллаген в форме желе 360 Collagen; БАД 360 Против пигментации.,https://360collagen.ru,info@shops360.ru,+7 495 085 04 43,https://personal-account.expovr.ru/widget/preset/ru/69d8e35163aa2ec91670244b/exhibitor/6a50f28a81e2ea7899101a7b/-/-/-,6a50f28a81e2ea7899101a7b,RUS_product_candidate,"БАДы и нутрициология; Диетическое питание; суперфуды; Уход за кожей лица и тела; Зал 18 – Профессиональная косметика и косметология | Научный подход к красоте и молодости. Прозрачный состав-предсказуемый результат. | Наш продукт 360 Collagen - это пептидный комплекс: • с 3 типами коллагена (I, II, III) для поддержки кожи, волос, суставов и соединительной ткани • с высоким уровнем аминокислотного профиля - заменимые и незаменимые аминокислоты. • с усиленной формулой витаминов, которые повышают усвояемость и стимулируют естественный синтез коллагена в организме • с биодоступностью до 96%, благодаря особенной технологии гидролиза • без уксуса, что благотворно влияет на ЖКТ Мы создали продукт, формула которого направлена на усиление естественных процессов организма. | На нашем стенде вы сможете увидеть - полный состав нашего продукта. Мы гордимся своей формулой и готовы рассказать вам подроб",ok,,2026-09-21T05:23:31Z,intercharm-2026-official-expovr-signo-v1.0.0,ok,ok,kept: RUS row with cosmetics/perfumery/household-chemistry/ingredient/equipment product evidence,new,no exact email/domain/name match in read-only Twenty repeat index,,,,info@shops360.ru,360collagen.ru; shops360.ru,official_expovr_catalog_api,,official_email_present,,,info@shops360.ru,official catalogue public email
InterCHARM 2026,14–17 октября 2026,43 TEMPTATIONS,43 Temptations,ароматы для помещений (свечи; диффузоры),RUS,Москва,,13G60,Зал 13 – Косметика и парфюмерия. Бытовая химия.,Ароматы для помещений (свечи; диффузоры); Зал 13 – Косметика и парфюмерия. Бытовая химия.; Впервые на выставке,"43 TEMPTATIONS — бренд ароматов для дома и лавовых диффузоров, превращающих пространство в незабываемый сенсорный опыт. | 43 TEMPTATIONS создаёт и дистрибутирует ароматы для дома: свечи ЛОФТ, домашние ароматы (19 оттенков), диффузоры (10) и ИНТЕРЬЕРНУЮ ВУАЛЬ (10). Ключевой продукт — лавовый диффузор из 300 г натуральной вулканической лавы с Дальнего Востока: природный диффузор, дизайн-объект и WOW-инсталляция. Работаем в B2B и B2C: выставки, маркеты, интерьерные и парфюмерные ритейлеры, HoReCa. Услуги: опт, дистрибуция, партнёрские стенды, подбор ассортимента, POS-поддержка. Преимущества — уникальный продукт, чувственный опыт, эстетика, широкая палитра и эмоция, привлекающая гостей и увеличивающая продажи. | На стенде 43 TEMPTATIONS — полная коллекция ароматов для дома и лавовый диффузор. Живая инсталляция: 300 г вулканической лавы с Дальнего Востока «пробуждается», впитывая и отдавая 20 мл масла. Ноу-хау — природный диффузор с микропорами, каждая глыба уникальна. Также свечи ЛОФТ (350 г, 43 часа), ароматы для дома (19), диффузоры (10), ИНТЕРЬЕРНАЯ ВУАЛЬ (10). Услуги: опт, дистрибуция, партнёрские стенды, подбор ассортимента, POS-поддержка. Мастер-классы: «Магия пробуждения лавы», арома-сессии. Для клиентов — эксклюзивные предложения, скидки на первый заказ, консультации.",,https://t.me/TEMPTATIONS_43,kartashovegor1509@yandex.ru,+7 919 766 48 55,https://personal-account.expovr.ru/widget/preset/ru/69d8e35163aa2ec91670244b/exhibitor/6a9990363458addbcaa3c8be/-/-/-,6a9990363458addbcaa3c8be,RUS_product_candidate,"Ароматы для помещений (свечи; диффузоры); Зал 13 – Косметика и парфюмерия. Бытовая химия.; Впервые на выставке | 43 TEMPTATIONS — бренд ароматов для дома и лавовых диффузоров, превращающих пространство в незабываемый сенсорный опыт. | 43 TEMPTATIONS создаёт и дистрибутирует ароматы для дома: свечи ЛОФТ, домашние ароматы (19 оттенков), диффузоры (10) и ИНТЕРЬЕРНУЮ ВУАЛЬ (10). Ключевой продукт — лавовый диффузор из 300 г натуральной вулканической лавы с Дальнего Востока: природный диффузор, дизайн-объект и WOW-инсталляция. Работаем в B2B и B2C: выставки, маркеты, интерьерные и парфюмерные ритейлеры, HoReCa. Услуги: опт, дистрибуция, партнёрские стенды, подбор ассортимента, POS-поддержка. Преимущества — уникальный продукт, чувственный опыт, эстетика, широкая палитра и эмоция, привлекающая гостей и увеличивающая продажи. | На стенде 43 TEMPTATIONS — полная коллекция ароматов для дома и лавов",ok,,2026-09-21T05:23:31Z,intercharm-2026-official-expovr-signo-v1.0.0,ok,ok,kept: RUS row with cosmetics/perfumery/household-chemistry/ingredient/equipment product evidence,new,no exact email/domain/name match in read-only Twenty repeat index,,,,kartashovegor1509@yandex.ru,,official_expovr_catalog_api,,official_email_present,,,kartashovegor1509@yandex.ru,official catalogue public email
InterCHARM 2026,14–17 октября 2026,7DAYS,7DAYS,декоративная косметика и кисти; уход за кожей лица и тела,RUS,Москва,,13D14,Зал 13 – Косметика и парфюмерия. Бытовая химия.,Декоративная косметика и кисти; Уход за кожей лица и тела; Экспресс-уход (маски; патчи); Зал 13 – Косметика и парфюмерия. Бытовая химия.,"СОФИС — международная группа компаний. Производитель декоративной и уходовой косметики брендов 7DAYS, B.COLOUR PROFESSIONAL. Представлен в 50 странах. | Бренды «СОФИС»: • 7DAYS – мульти-категорийный бренд уходовой и декоративной косметики для широкого круга потребителей. • B.COLOUR PROFESSIONAL – инновационный бренд декоративной косметики для профессионалов. Бренды «СОФИС» представлены в международных сетях и е-коммерс: • В России – Золотое Яблоко, Л'этуаль, Магнит Косметик, Парфюм-Лидер, Улыбка Радуги, Рив Гош и другие. • В 49 странах мира – Италия (Tigota, Caddys, OVS, Piu Me, DM), Испания (Druni), Чехия, Венгрия, Турция (Rossman), Дания (Flying Tiger), ОАЭ (Gold Apple) и другие. • Wildberries, Ozon, Amazon, Яндекс Маркет, Letu.ru и другие. | • Новинки 2024 года (3D кремы массажеры, подарочные наборы косметики, профессиональный уход за телом). • Бестселлеры 7DAYS и B.COLOUR PROFESSIONAL. • Специальные предложения и скидки для заказов после выставки.","7DAYS, B.COLOUR PROFESSIONAL",https://my7days.ru,order@7daysmail.com,+7 495 150 24 34,https://personal-account.expovr.ru/widget/preset/ru/69d8e35163aa2ec91670244b/exhibitor/6a42760881e2ea78990c658a/-/-/-,6a42760881e2ea78990c658a,RUS_product_candidate,"Декоративная косметика и кисти; Уход за кожей лица и тела; Экспресс-уход (маски; патчи); Зал 13 – Косметика и парфюмерия. Бытовая химия. | СОФИС — международная группа компаний. Производитель декоративной и уходовой косметики брендов 7DAYS, B.COLOUR PROFESSIONAL. Представлен в 50 странах. | Бренды «СОФИС»: • 7DAYS – мульти-категорийный бренд уходовой и декоративной косметики для широкого круга потребителей. • B.COLOUR PROFESSIONAL – инновационный бренд декоративной косметики для профессионалов. Бренды «СОФИС» представлены в международных сетях и е-коммерс: • В России – Золотое Яблоко, Л'этуаль, Магнит Косметик, Парфюм-Лидер, Улыбка Радуги, Рив Гош и другие. • В 49 странах мира – Италия (Tigota, Caddys, OVS, Piu Me, DM), Испания (Druni), Чехия, Венгрия, Турция (Rossman), Дания (Flying Tiger), ОАЭ (Gold Apple) и другие. • Wildberries, Ozon, Amazon, Яндекс Маркет, Letu.ru и другие. | • Нови",ok,,2026-09-21T05:23:31Z,intercharm-2026-official-expovr-signo-v1.0.0,ok,ok,kept: RUS row with cosmetics/perfumery/household-chemistry/ingredient/equipment product evidence,new,no exact email/domain/name match in read-only Twenty repeat index,,,,order@7daysmail.com,7daysmail.com; my7days.ru,official_expovr_catalog_api,,official_email_present,,,order@7daysmail.com,official catalogue public email
InterCHARM 2026,14–17 октября 2026,A.S.M. / Lightdep,A.S.M. / Lightdep,косметика; косметическое сырье и ингредиенты; массажные средства и оборудование,RUS,Санкт-Петербург,,18G25,Зал 18 – Профессиональная косметика и косметология,Зал 18 – Профессиональная косметика и косметология,"Петербургская производственно-косметическая компания ООО ГРОСС | Более 10 лет на рынке профессиональной косметики для лица и тела. Вся наша продукция проходит строгий контроль качества, что подтверждается лабораторными испытаниями и сертификатами. Одной из главных задач компании является тщательный отбор качественного сырья для нашей косметики. Мы не стремимся удешевить продукт, а создаем то, чем пользуемся сами. Производим продукцию на основе современных технологий. Рабочие формулы с большим процентом ввода активных веществ для достижения эффекта в максимально быстрые сроки. Используем только высококачественные натуральные экстракты и пептиды. | Наша компания представляет продукцию для профессионального применения - Неинвазивная карбокситерапия для лица - Анестетики для лица и тела - Сыворотки для лица Harmony formula - Мультипептидные эссенции Peptide formula Новинка !!! МАССАЖНЫЙ КРЕМ БЕЗ МАСЛА ДЛЯ ЛИЦА И ТЕЛА Легкий крем для массажа без масла обеспечивает отличное скольжение без ощущения липкости и тяжести. Не закупоривает поры, подходит для всех типов кожи. Интенсивно увлажняет и питает кожу, придавая ощущения комфорта после процедуры массажа. С РАДОСТЬЮ ПОЗНАКОМИМ С ПРОДУКЦИЕЙ НАШЕЙ КОМПАНИИ.",A.S.M. / Lightdep,,asmcosmetic@mail.ru,+880 05558 683,https://personal-account.expovr.ru/widget/preset/ru/69d8e35163aa2ec91670244b/exhibitor/6a42262b81e2ea78990c2e6d/-/-/-,6a42262b81e2ea78990c2e6d,RUS_product_candidate,"Зал 18 – Профессиональная косметика и косметология | Петербургская производственно-косметическая компания ООО ГРОСС | Более 10 лет на рынке профессиональной косметики для лица и тела. Вся наша продукция проходит строгий контроль качества, что подтверждается лабораторными испытаниями и сертификатами. Одной из главных задач компании является тщательный отбор качественного сырья для нашей косметики. Мы не стремимся удешевить продукт, а создаем то, чем пользуемся сами. Производим продукцию на основе современных технологий. Рабочие формулы с большим процентом ввода активных веществ для достижения эффекта в максимально быстрые сроки. Используем только высококачественные натуральные экстракты и пептиды. | Наша компания представляет продукцию для профессионального применения - Неинвазивная карбокситерапия для лица - Анестетики для лица и тела - Сыворотки для лица Harmony formula - Мультипептидны",ok,,2026-09-21T05:23:31Z,intercharm-2026-official-expovr-signo-v1.0.0,ok,ok,kept: RUS row with cosmetics/perfumery/household-chemistry/ingredient/equipment product evidence,new,no exact email/domain/name match in read-only Twenty repeat index,,,,asmcosmetic@mail.ru,,official_expovr_catalog_api,,official_email_present,,,asmcosmetic@mail.ru,official catalogue public email
